stop_id;stop_name
U17316Z1;Luleč, rozc. k žel. st.
U17315Z1;Luleč, obecní úřad
U17314Z1;Luleč, kamenolom
U17305Z1;Drnovice, Na vrchu
U17304Z2;Drnovice
U17434Z2;Vyškov, nemocnice
U17423Z17;Vyškov, Autobusové nádraží
U17434Z1;Vyškov, nemocnice
U17304Z1;Drnovice
U17305Z2;Drnovice, Na vrchu
U17314Z2;Luleč, kamenolom
U17315Z2;Luleč, obecní úřad
U17316Z2;Luleč, rozc. k žel. st.
U17317Z2;Nemojany
U17343Z2;Tučapy, obecní úřad
U17335Z21;Rousínov, autobusová stanice
U1696Z4;ÚAN Zvonařka
U1068Z3;Černovičky
U1577Z5;Slatina, sídliště
U16130Z1;Šlapanice, Bedřichovice, rozc.
U16105Z1;Jiříkovice, motorest Rohlenka
U16205Z1;Holubice, kruh
U16227Z1;Holubice, GLP Park
U16210Z1;Kovalovice, Stará pošta
U17349Z1;Velešovice, Za Mlýnem
U17348Z2;Velešovice, u mostu
U17345Z1;Velešovice
U17348Z1;Velešovice, u mostu
U15528Z4;Velké Pavlovice, autobusové nádraží
U30302Z1;Ořechov
U15531Z2;Velké Pavlovice, obchodní středisko
U15514Z2;Němčičky, rozcestí
U30009Z1;Křižanov
U15516Z2;Němčičky, transformátor
U30009Z2;Křižanov
U15515Z2;Němčičky, střed
U30302Z2;Ořechov
U15518Z2;Němčičky, ZD
U15517Z2;Němčičky, u mlýna
U30305Z2;Osová Bítýška
U15513Z2;Bořetice, železniční stanice
U30008Z2;Vlkov u Tišnova
U15511Z2;Bořetice
U13454Z11;Níhov, železniční stanice
U15512Z2;Bořetice, u Floriánka
U13425Z11;Řikonín, železniční stanice
U15542Z2;Vrbice, obecní úřad
U13411Z11;Dolní Loučky, železniční stanice
U15541Z2;Vrbice, Jednota
U13306Z11;Hradčany, železniční stanice
U15540Z2;Kobylí, škola
U13206Z11;Čebín, železniční stanice
U15538Z2;Kobylí
U13109Z11;Česká, železniční stanice
U15539Z2;Kobylí, statek
